"Species","Longitude","Latitude"
"Pbengalensis",76.981201,31.739224
"Pbengalensis",76.555481,32.107549
"Pbengalensis",77.104797,31.059365
"Pbengalensis",77.154797,31.079365
"Pbengalensis",76.107788,32.578603
"Pbengalensis",75.09764,13.62614
"Pbengalensis",75.0906,13.562222
"Pbengalensis",75.14025,13.56554
"Pbengalensis",75.161244,13.765194
"Pbengalensis",77.09081,11.8562
"Pbengalensis",77.09081,12.0001
"Pbengalensis",74.70623,34.10956
"Pbengalensis",96.080933,27.614108
"Pbengalensis",96.090933,27.714108
"Pbengalensis",77.13255,9.52845
"Pbengalensis",88.486,27.21
"Pbengalensis",88.515,27.525
"Pbengalensis",88.458,27.104
"Pbengalensis",88.636,27.61
"Pbengalensis",88.703,27.798
"Pbengalensis",88.42,27.088
"Pbengalensis",76.485056,11.253167
"Pbengalensis",74.79692,34.04075
"Pbengalensis",92.732849,23.754511
"Pbengalensis",88.28064,27.10673
"Pbengalensis",91.75,26.166667
"Pbengalensis",94.90818333,25.7119
"Pbengalensis",94.81058611,25.86852222
"Pbengalensis",94.31406389,26.25196389
"Pbengalensis",93.86449722,25.56770278
"Pbengalensis",94.54888611,26.22054444
"Pbengalensis",94.35103611,25.49903056
"Pbengalensis",92.40546,27.08721
"Pbengalensis",84.072017,27.4338
"Pbengalensis",83.961017,27.433467
"Pbengalensis",88.7311,27.38226667
"Pbengalensis",92.46112,27.18921
"Pbengalensis",92.46265,27.15271
"Pbengalensis",78.64607,29.54977
"Pbengalensis",78.2912,29.93423
"Pbengalensis",78.299586,29.955315
"Pbengalensis",78.013046,30.108458
"Pbengalensis",78.093541,30.062762
"Pbengalensis",88.2,27.366667
"Pbengalensis",88.233333,27.383333
"Pbengalensis",91.397594,23.28236
"Pbengalensis",73.860389,16.4085
"Pbengalensis",73.641506,17.963649
"Pbengalensis",86.159444,21.920278
"Pbengalensis",78.773694,15.421094
"Pbengalensis",84.11895,28.430317
"Pbengalensis",83.28333333,17.96666667
"Pbengalensis",82.66666667,18.08333333
"Pbengalensis",87.26686667,27.80573333
"Pbengalensis",90.86444,25.21803
"Pbengalensis",90.80782,25.27064
"Pbengalensis",90.86338,25.24015
"Pbengalensis",90.7309,25.33015
"Pbengalensis",91.82654,25.9234
"Pbengalensis",91.78439,25.90091
"Pbengalensis",91.77412,25.83385
"Pbengalensis",93.46575,25.54373
"Pbengalensis",92.71112,27.05257
"Pbengalensis",92.72618,27.10801
"Pbengalensis",92.78341,27.10011
"Pbengalensis",92.88554,27.00275
"Pbengalensis",92.61073,27.10316
